,Country,Time,PopMale,PopFemale,PopTotal,PopDensity
0,Afghanistan,2001,"11,117,754","10,489,238","21,606,992",33.096
1,Afghanistan,2002,"11,642,106","10,958,668","22,600,774",34.618
2,Afghanistan,2003,"12,214,634","11,466,237","23,680,871",36.273
3,Afghanistan,2004,"12,763,726","11,962,963","24,726,689",37.874
4,Afghanistan,2005,"13,239,684","12414,59","25,654,274",39.295
5,Afghanistan,2006,"13,623,896","12,809,162","26,433,058",40.488
6,Afghanistan,2007,"13938,97","13,161,572","27,100,542",41.51
7,Afghanistan,2008,"14,225,725","13,496,556","27,722,281",42.463
8,Afghanistan,2009,"14,544,055","13,850,751","28,394,806",43.493
9,Afghanistan,2010,"14,935,756","14,249,755","29,185,511",44.704
10,Afghanistan,2011,"15,415,361","14702,05","30,117,411",46.131
11,Afghanistan,2012,"15,964,874","15,196,504","31,161,378",47.731
12,Afghanistan,2013,"16,554,278","15,715,314","32,269,592",49.428
13,Afghanistan,2014,"17,138,803","16,232,001","33,370,804",51.115
14,Afghanistan,2015,"17,686,166","16,727,437","34,413,603",52.712
15,Afghanistan,2016,"18,186,994","17,196,034","35,383,028",54.197
16,Afghanistan,2017,"18,651,985","17,644,126","36,296,111",55.596
17,Afghanistan,2018,"19,093,043","18,078,879","37,171,922",56.937
18,Afghanistan,2019,"19,529,727","18512,03","38,041,757",58.269
19,Afghanistan,2020,"19,976,265","18,952,076","38,928,341",59.627
20,Africa,2001,"414,086,313","416,816,226","830,902,539",28.025
21,Africa,2002,"424259,65","427,038,787","851,298,437",28.713
22,Africa,2003,"434,718,472","437,529,865","872,248,337",29.42
23,Africa,2004,"445,503,481","448,339,305","893,842,786",30.148
24,Africa,2005,"456,648,127","459,506,158","916,154,285",30.901
25,Africa,2006,"468,164,354","471,045,695","939,210,049",31.678
26,Africa,2007,"480,060,381","482,961,456","963,021,837",32.481
27,Africa,2008,"492,359,583","495,263,937","987623,52",33.311
28,Africa,2009,"505,085,799","507,959,926","1,013,045,725",34.169
29,Africa,2010,"518,252,648","521,051,382","1039304,03",35.054
30,Africa,2011,"531,867,833","534,541,879","1,066,409,712",35.968
31,Africa,2012,"545,918,311","548,424,718","1,094,343,029",36.911
32,Africa,2013,"560,368,999","562,676,138","1,123,045,137",37.879
33,Africa,2014,"575,170,334","577,263,284","1,152,433,618",38.87
34,Africa,2015,"590,281,019","592,157,784","1,182,438,803",39.882
35,Africa,2016,"605,689,061","607,351,481","1,213,040,542",40.914
36,Africa,2017,"621,386,542","622,835,727","1,244,222,269",41.966
37,Africa,2018,"637,340,523","638,580,491","1,275,921,014",43.035
38,Africa,2019,"653513,68","654,550,496","1,308,064,176",44.119
39,Africa,2020,"669878,34","670,719,773","1,340,598,113",45.216
40,African Group,2001,"413,462,461","416,193,078","829,655,539",28.24
41,African Group,2002,"423,612,938","426,395,021","850,007,959",28.932
42,African Group,2003,"434,048,443","436,864,981","870,913,424",29.644
43,African Group,2004,"444,811,955","447,654,332","892,466,287",30.377
44,African Group,2005,"455,938,476","458,803,238","914,741,714",31.136
45,African Group,2006,"467,440,549","470,327,323","937,767,872",31.919
46,African Group,2007,"479,325,829","482,229,788","961,555,617",32.729
47,African Group,2008,"491616,53","494,520,613","986,137,143",33.566
48,African Group,2009,"504,334,804","507,205,718","1,011,540,522",34.43
49,African Group,2010,"517,492,951","520,286,405","1,037,779,356",35.324
50,African Group,2011,"531,098,372","533,766,132","1,064,864,504",36.246
51,African Group,2012,"545,138,348","547,638,361","1,092,776,709",37.196
52,African Group,2013,"559,577,802","561,879,012","1,121,456,814",38.172
53,African Group,2014,"574,367,349","576454,93","1,150,822,279",39.171
54,African Group,2015,"589,465,802","591,337,551","1,180,803,353",40.192
55,African Group,2016,"604,861,097","606,518,541","1,211,379,638",41.233
56,African Group,2017,"620545,24","621,989,311","1,242,534,551",42.293
57,African Group,2018,"636,485,458","637,720,064","1,274,205,522",43.371
58,African Group,2019,"652,644,714","653,675,858","1,306,320,572",44.464
59,African Group,2020,"668,995,562","669,831,029","1,338,826,591",45.571
60,African Union,2001,"413,639,039","416,353,147","829,992,186",27.998
61,African Union,2002,"423,803,812","426,567,372","850,371,184",28.685
62,African Union,2003,"434,254,321","437050,28","871,304,601",29.391
63,African Union,2004,"445,031,565","447,851,526","892,883,091",30.119
64,African Union,2005,"456,169,148","459,010,082","915179,23",30.871
65,African Union,2006,"467,679,101","470,541,128","938,220,229",31.648
66,African Union,2007,"479,569,539","482,448,288","962,017,827",32.451
67,African Union,2008,"491,863,535","494,742,238","986,605,773",33.28
68,African Union,2009,"504,584,537","507430,03","1,012,014,567",34.138
69,African Union,2010,"517745,83","520,513,794","1,038,259,624",35.023
70,African Union,2011,"531,355,006","533,997,152","1,065,352,158",35.937
71,African Union,2012,"545,399,126","547,873,356","1,093,272,482",36.879
72,African Union,2013,"559843,21","562,118,462","1,121,961,672",37.846
73,African Union,2014,"574,637,914","576,699,349","1,151,337,263",38.837
74,African Union,2015,"589,742,068","591,587,496","1,181,329,564",39.849
75,African Union,2016,"605,143,714","606,774,668","1,211,918,382",40.881
76,African Union,2017,"620,834,887","622,252,281","1,243,087,168",41.932
77,African Union,2018,"636,782,595","637,990,323","1,274,772,918",43.001
78,African Union,2019,"652,949,469","653,953,561","1306903,03",44.085
79,African Union,2020,"669,307,822","670,116,099","1,339,423,921",45.182
80,African Union: Central Africa,2001,"43,933,885","44601,53","88,535,415",16.781
81,African Union: Central Africa,2002,"45,255,997","45,903,275","91,159,272",17.279
82,African Union: Central Africa,2003,"46,664,469","47,290,178","93,954,647",17.809
83,African Union: Central Africa,2004,"48,143,838","48,745,626","96,889,464",18.365
84,African Union: Central Africa,2005,"49,682,407","50,257,086","99,939,493",18.943
85,African Union: Central Africa,2006,"51,281,006","51,825,221","103,106,227",19.543
